college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,salary_log
Tier 2,7.6,2,1,1,1,3,2,1,1,60.4,ML Engineer,15.83,2,5,2.8231630082027146
Tier 1,5.89,1,2,0,1,2,1,0,0,42.0,Junior Developer,6.03,3,4,1.9501867058225735
Tier 1,5.62,0,4,1,0,1,0,0,2,41.6,Junior Developer,4.73,3,4,1.7457155307266483
Tier 3,7.47,1,2,4,1,1,1,1,0,50.2,Data Scientist,9.66,1,2,2.3664984187376983
Tier 1,7.93,0,2,1,2,0,2,2,0,60.3,ML Engineer,16.17,3,5,2.843163674909384
Tier 3,8.07,2,1,1,1,1,0,1,1,61.4,Backend Developer,9.3,1,0,2.33214389523559
Tier 2,6.91,0,4,1,0,0,0,2,0,54.4,Software Engineer,8.03,2,6,2.200552367428894
Tier 2,6.64,0,2,1,1,1,3,0,2,64.0,Data Analyst,10.1,2,1,2.4069451083182885
Tier 2,6.36,3,1,0,3,2,1,2,1,51.6,Backend Developer,9.9,2,0,2.388762789235098
Tier 2,6.04,1,2,2,1,1,1,1,1,46.6,Data Analyst,10.74,2,1,2.4630018143999504
Tier 2,6.77,0,2,2,2,2,1,0,1,53.2,Data Analyst,9.85,2,1,2.3841650799864684
Tier 1,8.11,0,0,0,1,1,1,3,2,54.4,Web Developer,15.54,3,7,2.805781689595545
Tier 2,5.9,1,1,2,3,1,1,1,2,54.6,Junior Developer,5.57,2,4,1.8825138324965192
Tier 3,8.43,0,5,0,2,0,0,1,0,60.1,Software Engineer,9.36,1,6,2.337952236831337
Tier 2,8.26,0,2,1,3,1,1,1,1,69.8,Data Analyst,13.46,2,1,2.671386216730619
Tier 3,6.71,2,2,1,0,1,2,1,1,53.6,Junior Developer,9.01,1,4,2.303584593327129
Tier 2,7.57,2,2,0,3,0,1,1,0,56.6,Data Scientist,16.02,2,2,2.834389123145228
Tier 1,5.63,3,1,4,3,3,0,2,0,40.4,Junior Developer,4.54,3,4,1.7119945007591924
Tier 2,6.95,1,1,0,2,2,1,1,3,49.4,DevOps Engineer,9.78,2,3,2.377692565480851
Tier 1,7.26,0,3,1,2,1,2,1,2,61.8,Data Scientist,16.26,3,2,2.848391685655282
Tier 3,5.56,0,2,1,4,1,0,2,1,36.9,Web Developer,4.73,1,7,1.7457155307266483
Tier 1,9.25,0,2,0,2,0,1,1,1,77.4,DevOps Engineer,19.37,3,3,3.0140632302387145
Tier 1,8.4,1,0,1,3,4,0,3,1,58.9,DevOps Engineer,10.48,3,3,2.4406063908914204
Tier 1,6.25,0,2,1,0,5,2,1,1,55.1,Junior Developer,8.59,3,4,2.2607208888953467
Tier 2,4.85,1,5,3,2,1,1,2,1,30.6,Junior Developer,4.6,2,4,1.7227665977411035
Tier 2,6.84,2,1,0,4,1,1,0,0,39.3,Software Engineer,10.53,2,6,2.4449523342809676
Tier 2,6.63,0,1,1,0,1,1,1,1,55.2,Data Analyst,10.17,2,1,2.413231613081109
Tier 3,8.05,0,0,1,4,1,2,2,2,66.2,ML Engineer,16.95,1,5,2.8875901149342877
Tier 1,8.03,0,1,0,0,0,0,4,2,55.3,Software Engineer,10.5,3,6,2.4423470353692043
Tier 1,6.01,3,2,1,1,3,1,1,0,48.9,Software Engineer,10.02,3,6,2.3997118037247684
Tier 3,9.73,1,3,0,4,1,0,1,3,70.5,Web Developer,10.71,1,7,2.460443177609626
Tier 3,4.83,0,4,2,5,2,0,1,3,33.4,Junior Developer,3.52,1,4,1.5085119938441398
Tier 3,7.35,2,3,0,8,1,1,1,0,48.9,DevOps Engineer,16.04,1,3,2.8355635214011694
Tier 3,7.62,0,3,1,3,3,2,2,0,70.3,Data Scientist,16.26,1,2,2.848391685655282
Tier 3,6.48,0,2,2,2,3,1,2,2,47.3,Backend Developer,10.0,1,0,2.3978952727983707
Tier 2,7.96,0,3,1,0,0,0,2,1,57.9,Backend Developer,10.12,2,0,2.4087452888224363
Tier 2,6.38,2,1,0,0,1,0,2,3,38.3,Backend Developer,7.57,2,0,2.1482677326096886
Tier 3,6.77,0,2,2,2,3,1,3,0,48.1,Backend Developer,9.63,1,0,2.363680192353857
Tier 2,9.85,1,1,0,3,0,0,1,2,67.1,DevOps Engineer,10.86,2,3,2.4731713935695794
Tier 2,4.05,0,1,0,1,1,0,0,2,29.7,Junior Developer,3.77,2,4,1.5623463049002497
Tier 2,8.27,1,3,0,1,2,0,0,1,61.8,Data Analyst,6.41,2,1,2.0028304393079956
Tier 2,7.15,0,0,0,1,1,2,2,1,58.3,Data Scientist,15.75,2,2,2.8183982582710754
Tier 3,7.32,0,4,0,3,2,1,1,1,54.9,Backend Developer,14.3,1,0,2.72785282839839
Tier 1,4.83,1,0,1,1,2,0,0,1,28.6,Junior Developer,3.48,3,4,1.4996230464268938
Tier 1,8.21,0,4,0,3,2,0,3,3,54.0,DevOps Engineer,10.43,3,3,2.4362414778067194
