college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,academic_score,total_skills,experience_score
Tier 2,7.6,2,1,1,1,3,2,1,1,60.4,ML Engineer,15.83,2,5,0.5995,9,12.5
Tier 1,5.89,1,2,0,1,2,1,0,0,42.0,Junior Developer,6.03,3,4,0.3239,3,10.5
Tier 1,5.62,0,4,1,0,1,0,0,2,41.6,Junior Developer,4.73,3,4,0.2946,2,9.0
Tier 3,7.47,1,2,4,1,1,1,1,0,50.2,Data Scientist,9.66,1,2,0.5285,5,9.5
Tier 1,7.93,0,2,1,2,0,2,2,0,60.3,ML Engineer,16.17,3,5,0.632,10,7.0
Tier 3,8.07,2,1,1,1,1,0,1,1,61.4,Backend Developer,9.3,1,0,0.6522,3,10.5
Tier 2,6.91,0,4,1,0,0,0,2,0,54.4,Software Engineer,8.03,2,6,0.4964,4,8.0
Tier 2,6.64,0,2,1,1,1,3,0,2,64.0,Data Analyst,10.1,2,1,0.524,11,6.5
Tier 2,6.36,3,1,0,3,2,1,2,1,51.6,Backend Developer,9.9,2,0,0.4255,8,17.5
Tier 2,6.04,1,2,2,1,1,1,1,1,46.6,Data Analyst,10.74,2,1,0.365,6,9.5
Tier 2,6.77,0,2,2,2,2,1,0,1,53.2,Data Analyst,9.85,2,1,0.4756,4,9.0
Tier 1,8.11,0,0,0,1,1,1,3,2,54.4,Web Developer,15.54,3,7,0.6164,11,2.5
Tier 2,5.9,1,1,2,3,1,1,1,2,54.6,Junior Developer,5.57,2,4,0.3965,7,10.5
Tier 3,8.43,0,5,0,2,0,0,1,0,60.1,Software Engineer,9.36,1,6,0.6808,2,13.0
Tier 2,8.26,0,2,1,3,1,1,1,1,69.8,Data Analyst,13.46,2,1,0.719,6,9.5
Tier 3,6.71,2,2,1,0,1,2,1,1,53.6,Junior Developer,9.01,1,4,0.4719,9,11.0
Tier 2,7.57,2,2,0,3,0,1,1,0,56.6,Data Scientist,16.02,2,2,0.5749,5,14.5
Tier 1,5.63,3,1,4,3,3,0,2,0,40.4,Junior Developer,4.54,3,4,0.2887,4,18.5
Tier 2,6.95,1,1,0,2,2,1,1,3,49.4,DevOps Engineer,9.78,2,3,0.472,8,10.0
Tier 1,7.26,0,3,1,2,1,2,1,2,61.8,Data Scientist,16.26,3,2,0.5735,10,10.0
Tier 3,5.56,0,2,1,4,1,0,2,1,36.9,Web Developer,4.73,1,7,0.2618,5,11.0
Tier 1,9.25,0,2,0,2,0,1,1,1,77.4,DevOps Engineer,19.37,3,3,0.8613,6,7.0
Tier 1,8.4,1,0,1,3,4,0,3,1,58.9,DevOps Engineer,10.48,3,3,0.671,7,11.5
Tier 1,6.25,0,2,1,0,5,2,1,1,55.1,Junior Developer,8.59,3,4,0.4344,9,9.0
Tier 2,4.85,1,5,3,2,1,1,2,1,30.6,Junior Developer,4.6,2,4,0.155,8,17.0
Tier 2,6.84,2,1,0,4,1,1,0,0,39.3,Software Engineer,10.53,2,6,0.4035,3,15.0
Tier 2,6.63,0,1,1,0,1,1,1,1,55.2,Data Analyst,10.17,2,1,0.473,6,3.0
Tier 3,8.05,0,0,1,4,1,2,2,2,66.2,ML Engineer,16.95,1,5,0.6775,12,7.0
Tier 1,8.03,0,1,0,0,0,0,4,2,55.3,Software Engineer,10.5,3,6,0.6135,10,2.0
Tier 1,6.01,3,2,1,1,3,1,1,0,48.9,Software Engineer,10.02,3,6,0.3751,5,17.5
Tier 3,9.73,1,3,0,4,1,0,1,3,70.5,Web Developer,10.71,1,7,0.87,5,16.0
Tier 3,4.83,0,4,2,5,2,0,1,3,33.4,Junior Developer,3.52,1,4,0.1689,5,17.5
Tier 3,7.35,2,3,0,8,1,1,1,0,48.9,DevOps Engineer,16.04,1,3,0.5091,5,25.0
Tier 3,7.62,0,3,1,3,3,2,2,0,70.3,Data Scientist,16.26,1,2,0.6579,10,13.5
Tier 3,6.48,0,2,2,2,3,1,2,2,47.3,Backend Developer,10.0,1,0,0.413,9,10.0
Tier 2,7.96,0,3,1,0,0,0,2,1,57.9,Backend Developer,10.12,2,0,0.6213,5,6.0
Tier 2,6.38,2,1,0,0,1,0,2,3,38.3,Backend Developer,7.57,2,0,0.3518,7,9.0
Tier 3,6.77,0,2,2,2,3,1,3,0,48.1,Backend Developer,9.63,1,0,0.4466,9,10.0
Tier 2,9.85,1,1,0,3,0,0,1,2,67.1,DevOps Engineer,10.86,2,3,0.8627,4,9.5
Tier 2,4.05,0,1,0,1,1,0,0,2,29.7,Junior Developer,3.77,2,4,0.0699,2,4.5
Tier 2,8.27,1,3,0,1,2,0,0,1,61.8,Data Analyst,6.41,2,1,0.6745,1,12.5
Tier 2,7.15,0,0,0,1,1,2,2,1,58.3,Data Scientist,15.75,2,2,0.5426,11,2.5
Tier 3,7.32,0,4,0,3,2,1,1,1,54.9,Backend Developer,14.3,1,0,0.5403,6,14.5
Tier 1,4.83,1,0,1,1,2,0,0,1,28.6,Junior Developer,3.48,3,4,0.1416,1,6.5
Tier 1,8.21,0,4,0,3,2,0,3,3,54.0,DevOps Engineer,10.43,3,3,0.6241,9,14.5
Tier 3,6.81,2,2,0,3,3,1,2,2,47.6,Data Analyst,9.33,1,1,0.4477,9,17.5
Tier 3,8.26,1,4,0,2,1,2,1,0,60.8,ML Engineer,18.38,1,5,0.6678,8,15.0
Tier 3,9.72,2,1,1,3,1,0,0,1,75.8,Backend Developer,6.27,1,0,0.8992,1,13.5
Tier 2,6.49,2,2,0,0,3,0,1,1,42.1,Web Developer,8.05,2,7,0.3844,3,13.0
Tier 2,10.0,1,6,0,2,3,2,3,1,78.3,Backend Developer,17.93,2,0,0.9414,13,21.0
Tier 2,4.97,0,2,0,1,2,0,0,1,44.0,Junior Developer,3.5,2,4,0.2432,1,7.5
Tier 2,9.0,0,1,0,1,3,0,3,2,61.4,Backend Developer,10.07,2,0,0.7452,8,6.5
Tier 2,10.0,0,3,0,0,2,3,1,2,82.4,Data Scientist,24.12,2,2,0.9647,13,8.0
Tier 2,8.8,1,2,0,3,2,0,2,0,64.5,Backend Developer,10.17,2,0,0.7429,4,13.5
Tier 2,6.89,0,2,0,1,2,2,0,2,56.4,Backend Developer,10.24,2,0,0.5058,8,7.5
Tier 2,5.87,2,2,1,0,1,1,1,2,47.0,Junior Developer,5.62,2,4,0.3503,7,11.0
Tier 3,8.11,1,1,0,1,2,2,1,3,63.7,Data Scientist,17.25,1,2,0.6693,11,8.5
Tier 2,6.88,1,4,0,1,2,1,3,1,44.4,Web Developer,10.03,2,7,0.4365,10,14.5
Tier 2,5.04,1,2,0,4,2,2,1,1,46.6,Junior Developer,4.62,2,4,0.265,9,15.0
Tier 2,4.16,0,1,0,1,1,1,1,1,41.2,Junior Developer,4.23,2,4,0.1463,6,4.5
Tier 3,7.69,1,3,0,1,2,1,1,1,47.3,Backend Developer,14.23,1,0,0.534,6,12.5
Tier 1,7.29,0,3,0,3,2,0,0,2,50.6,Junior Developer,6.59,3,4,0.5128,2,12.5
Tier 1,7.21,3,3,0,2,2,0,1,1,42.5,Web Developer,10.65,3,7,0.4587,3,20.0
Tier 1,7.16,0,5,2,1,2,2,1,0,59.5,Backend Developer,15.86,3,0,0.5504,8,13.5
Tier 2,8.51,0,2,0,3,0,0,1,1,54.2,Data Analyst,10.42,2,1,0.6553,3,8.5
Tier 2,8.28,3,3,3,2,0,0,1,1,49.9,Backend Developer,10.12,2,0,0.6078,3,18.0
Tier 3,5.8,0,0,2,1,2,2,1,1,44.0,Web Developer,6.3,1,7,0.3262,9,3.5
Tier 2,6.74,2,2,3,1,1,1,0,1,47.4,Data Analyst,10.36,2,1,0.4396,4,12.5
Tier 2,8.7,1,2,0,2,2,2,1,1,65.5,Data Scientist,24.09,2,2,0.7386,9,12.0
Tier 2,7.4,1,0,0,1,2,0,0,2,56.0,Data Analyst,6.08,2,1,0.5545,2,6.5
Tier 2,4.0,2,2,4,4,1,3,0,0,34.8,Junior Developer,4.39,2,4,0.0939,9,17.0
Tier 3,6.0,1,3,0,3,3,0,1,0,43.5,Backend Developer,8.47,1,0,0.3434,2,16.5
